age,poverty_level,Residence,region,access_to_reproductive_health_care,education_level,teenage_pregnancy
14,High,Rural,Garissa,Moderate,Primary,0
16,Medium,Rural,Isiolo,Poor,Higher,0
16,Medium,Urban,Kitui,Moderate,None,1
15,Medium,Rural,Thika,Moderate,Secondary,1
14,Low,Rural,Nyeri,Moderate,Secondary,1
15,Medium,Traditional,Kiambu,Good,Primary,0
14,Medium,Rural,Mombasa,Poor,Primary,0
15,Medium,Urban,Nakuru,Moderate,None,1
15,Medium,Rural,Kitui,Moderate,Higher,0
17,High,Traditional,Isiolo,Moderate,Higher,0
15,Low,Rural,Nyeri,Good,Secondary,0
16,Low,Traditional,Meru,Good,Higher,0
15,Medium,Rural,Kisumu,Moderate,Primary,0
14,High,Rural,Nairobi,Poor,None,0
15,Medium,Urban,Nakuru,Good,None,0
13,Low,Urban,Machakos,Moderate,Primary,0
18,Low,Rural,Narok,Poor,Secondary,0
14,Low,Rural,Nairobi,Moderate,Primary,0
13,Medium,Traditional,Garissa,Poor,None,0
14,Medium,Traditional,Kericho,Good,None,1
16,High,Urban,Mandera,Poor,None,1
18,High,Rural,Kakamega,Good,Higher,0
18,Low,Rural,Machakos,Good,Primary,0
16,Low,Traditional,Kisumu,Poor,Secondary,0
18,High,Rural,Mandera,Good,Primary,0
16,Low,Rural,Eldoret,Poor,Primary,0
13,High,Rural,Meru,Poor,Primary,1
17,Medium,Traditional,Thika,Good,Higher,1
14,Low,Traditional,Wajir,Good,Primary,0
16,Low,Traditional,Meru,Good,None,0
14,High,Rural,Nyeri,Good,Secondary,0
13,Medium,Traditional,Nakuru,Good,Higher,0
17,Low,Urban,Kericho,Moderate,Higher,1
13,Low,Urban,Nakuru,Moderate,Higher,0
18,High,Traditional,Nairobi,Moderate,Higher,1
14,Medium,Traditional,Kitui,Moderate,None,0
17,High,Rural,Wajir,Moderate,None,1
18,Medium,Traditional,Narok,Poor,Secondary,1
17,Medium,Traditional,Thika,Good,Primary,0
18,High,Urban,Eldoret,Moderate,Higher,0
13,High,Urban,Kiambu,Poor,Primary,0
16,Medium,Urban,Eldoret,Poor,Primary,0
14,High,Urban,Nyeri,Moderate,Secondary,0
15,Low,Traditional,Wajir,Moderate,Higher,0
15,Low,Urban,Kiambu,Moderate,Primary,0
13,Low,Rural,Nairobi,Moderate,Secondary,0
14,Low,Rural,Thika,Poor,Primary,1
14,Low,Traditional,Nairobi,Good,Secondary,0
13,High,Rural,Nairobi,Good,None,1
14,Medium,Urban,Kisumu,Poor,Secondary,0
16,High,Urban,Wajir,Moderate,Secondary,0
13,Low,Rural,Machakos,Good,None,0
16,Low,Traditional,Mandera,Moderate,Higher,0
14,High,Urban,Eldoret,Good,Secondary,0
13,High,Urban,Thika,Good,Secondary,1
14,Medium,Rural,Machakos,Good,Primary,0
13,Low,Traditional,Kakamega,Poor,Secondary,0
14,High,Traditional,Mombasa,Moderate,Secondary,1
16,Medium,Rural,Machakos,Good,Primary,0
16,Low,Urban,Meru,Good,Higher,0
14,Low,Rural,Isiolo,Good,None,0
13,Low,Rural,Machakos,Moderate,None,0
15,High,Rural,Machakos,Good,Secondary,1
16,Low,Urban,Thika,Poor,Higher,0
16,Low,Urban,Kakamega,Good,None,1
18,Medium,Rural,Mombasa,Good,Primary,1
15,High,Traditional,Nakuru,Poor,Secondary,0
14,Medium,Rural,Kiambu,Moderate,Secondary,0
13,High,Urban,Thika,Moderate,Higher,0
18,Low,Traditional,Narok,Good,Secondary,0
14,Medium,Traditional,Kericho,Moderate,Higher,1
17,High,Urban,Garissa,Poor,None,1
16,High,Urban,Kakamega,Moderate,None,0
17,Low,Rural,Thika,Good,Higher,0
16,Low,Urban,Kiambu,Poor,None,0
16,Medium,Traditional,Kericho,Good,None,1
17,Medium,Rural,Nyeri,Poor,None,0
17,High,Rural,Kisumu,Poor,Higher,1
14,Medium,Traditional,Thika,Good,Primary,1
18,Low,Urban,Mombasa,Good,Primary,0
18,Medium,Rural,Kisumu,Moderate,None,0
17,Medium,Traditional,Narok,Moderate,Primary,1
14,High,Traditional,Nakuru,Good,None,1
18,Low,Traditional,Mombasa,Good,Secondary,0
14,High,Urban,Nyeri,Moderate,Primary,1
14,Low,Urban,Nakuru,Good,Secondary,0
16,Low,Urban,Garissa,Poor,None,0
18,High,Urban,Kakamega,Moderate,Primary,0
18,Medium,Traditional,Thika,Moderate,Primary,1
16,High,Rural,Nakuru,Poor,Secondary,0
17,Medium,Traditional,Kiambu,Poor,None,0
16,High,Rural,Kericho,Good,Primary,0
18,High,Rural,Kisumu,Good,Higher,0
18,Medium,Rural,Kericho,Poor,None,1
17,Medium,Urban,Isiolo,Poor,Higher,0
16,Medium,Traditional,Kisumu,Moderate,Primary,0
13,High,Rural,Kiambu,Moderate,Primary,0
13,Medium,Traditional,Eldoret,Moderate,Higher,1
17,Medium,Urban,Nakuru,Good,Primary,1
16,Medium,Rural,Meru,Moderate,Primary,0
16,Low,Urban,Eldoret,Poor,None,0
14,Medium,Urban,Nairobi,Moderate,None,1
18,Medium,Traditional,Thika,Poor,None,0
15,Medium,Rural,Nakuru,Poor,Secondary,0
17,Low,Urban,Kitui,Good,None,0
15,Low,Traditional,Kisumu,Good,Primary,1
15,Medium,Rural,Mandera,Moderate,Primary,0
17,Medium,Rural,Wajir,Moderate,Secondary,0
16,Medium,Urban,Nakuru,Moderate,Primary,0
17,Medium,Urban,Machakos,Good,Secondary,0
15,Low,Urban,Narok,Poor,None,1
18,Medium,Urban,Eldoret,Poor,Higher,0
18,Low,Rural,Mombasa,Good,Higher,0
18,High,Urban,Mombasa,Moderate,Higher,0
16,Low,Urban,Mombasa,Good,Higher,0
13,High,Urban,Kisumu,Poor,Higher,1
17,Low,Rural,Meru,Good,Secondary,0
18,Low,Traditional,Nakuru,Good,Primary,0
17,Low,Traditional,Mandera,Poor,Secondary,0
18,Medium,Rural,Eldoret,Good,Primary,0
16,Low,Traditional,Kisumu,Good,None,1
13,Medium,Rural,Meru,Good,Secondary,0
13,Low,Urban,Kitui,Moderate,None,1
18,Low,Traditional,Narok,Poor,Primary,0
16,High,Rural,Machakos,Moderate,Primary,1
14,Low,Rural,Nakuru,Poor,Primary,0
17,Medium,Urban,Thika,Poor,Primary,0
17,High,Rural,Eldoret,Poor,Higher,1
15,High,Traditional,Eldoret,Good,Primary,1
16,Low,Urban,Mandera,Moderate,Primary,1
15,Low,Rural,Machakos,Poor,None,0
18,High,Urban,Garissa,Moderate,None,1
15,Medium,Rural,Nyeri,Moderate,Higher,1
13,Low,Traditional,Mombasa,Moderate,Higher,0
17,High,Traditional,Nairobi,Moderate,Higher,0
15,Medium,Urban,Wajir,Good,Higher,0
13,Low,Rural,Machakos,Good,Higher,0
16,High,Urban,Isiolo,Poor,None,1
15,High,Urban,Nakuru,Poor,None,1
18,Low,Traditional,Mombasa,Good,Secondary,0
18,Medium,Urban,Mandera,Poor,Higher,0
18,Medium,Rural,Eldoret,Good,Primary,1
17,High,Traditional,Eldoret,Moderate,Higher,0
15,Medium,Rural,Kitui,Moderate,Secondary,0
16,High,Urban,Kiambu,Good,Secondary,0
15,Low,Traditional,Kakamega,Poor,Primary,0
17,Medium,Rural,Nakuru,Poor,None,1
13,Low,Rural,Eldoret,Good,Secondary,0
17,High,Urban,Mandera,Good,Primary,0
18,Low,Rural,Kiambu,Moderate,Primary,0
13,Medium,Urban,Narok,Poor,Secondary,1
18,Low,Urban,Kericho,Moderate,Secondary,0
14,Medium,Urban,Nairobi,Good,None,1
17,Medium,Urban,Kisumu,Poor,Primary,1
17,Medium,Traditional,Meru,Moderate,Primary,1
16,Medium,Rural,Nakuru,Poor,None,0
15,Medium,Rural,Kericho,Poor,Secondary,1
13,High,Traditional,Garissa,Good,Primary,0
13,Low,Urban,Kisumu,Moderate,None,1
16,High,Urban,Kisumu,Good,Primary,0
16,Low,Urban,Nakuru,Moderate,Primary,0
15,Low,Urban,Nyeri,Good,Secondary,1
18,Low,Traditional,Kiambu,Good,Primary,0
15,High,Rural,Kakamega,Good,Secondary,1
17,Medium,Urban,Nyeri,Moderate,Primary,0
18,Medium,Urban,Mombasa,Good,Primary,1
14,High,Urban,Isiolo,Poor,Primary,0
15,Medium,Rural,Mombasa,Good,None,1
16,Low,Rural,Machakos,Poor,Secondary,0
18,Medium,Traditional,Nairobi,Moderate,None,1
15,Medium,Rural,Wajir,Poor,Higher,1
13,Medium,Rural,Kitui,Poor,Primary,0
14,Low,Urban,Garissa,Poor,Higher,1
17,Medium,Rural,Kitui,Poor,Secondary,0
13,Medium,Urban,Garissa,Poor,None,1
13,Medium,Traditional,Garissa,Moderate,None,1
14,High,Urban,Nairobi,Moderate,Secondary,0
17,High,Traditional,Nakuru,Moderate,Secondary,1
16,Medium,Rural,Isiolo,Moderate,None,0
18,High,Traditional,Kericho,Moderate,Higher,0
17,High,Urban,Eldoret,Moderate,Secondary,0
15,Low,Rural,Kitui,Good,Primary,0
13,High,Rural,Thika,Poor,Higher,1
15,High,Urban,Mombasa,Moderate,None,0
16,Medium,Rural,Meru,Good,Secondary,0
15,Low,Urban,Wajir,Moderate,Secondary,0
17,Low,Traditional,Mombasa,Moderate,Higher,0
15,Low,Traditional,Nakuru,Good,Secondary,0
16,High,Rural,Nyeri,Moderate,Primary,1
16,Medium,Urban,Nairobi,Poor,None,0
16,Low,Urban,Nyeri,Poor,Higher,0
17,Low,Traditional,Nyeri,Good,Higher,0
16,High,Urban,Nakuru,Moderate,Primary,1
13,Low,Rural,Mombasa,Poor,Secondary,1
16,Medium,Rural,Wajir,Good,Higher,0
15,Low,Traditional,Narok,Poor,None,1
18,Medium,Urban,Mandera,Good,Secondary,0
15,Medium,Rural,Narok,Good,Higher,0
18,Medium,Rural,Mombasa,Poor,Higher,0
15,High,Rural,Machakos,Moderate,None,0
17,High,Urban,Kitui,Good,Higher,0
15,Medium,Traditional,Kisumu,Poor,Secondary,1
17,Medium,Traditional,Thika,Poor,Primary,0
17,Low,Rural,Meru,Poor,Higher,1
16,Low,Traditional,Mandera,Good,Primary,0
13,Low,Rural,Thika,Moderate,None,1
18,High,Rural,Kisumu,Poor,Primary,1
16,Low,Urban,Kakamega,Poor,Higher,0
16,Medium,Rural,Kakamega,Good,None,0
17,Medium,Rural,Eldoret,Moderate,Secondary,1
17,High,Urban,Kericho,Good,Primary,1
18,High,Urban,Wajir,Moderate,Higher,0
15,Low,Traditional,Eldoret,Good,Secondary,0
15,High,Urban,Narok,Moderate,Primary,1
16,Medium,Rural,Nyeri,Poor,Secondary,0
14,Medium,Urban,Narok,Good,Higher,1
14,High,Urban,Mandera,Moderate,Higher,1
15,Medium,Traditional,Meru,Poor,Primary,1
14,High,Urban,Isiolo,Poor,Primary,1
15,Medium,Rural,Kiambu,Moderate,Higher,0
17,Low,Rural,Kiambu,Good,Secondary,0
16,High,Rural,Eldoret,Poor,Primary,1
13,High,Urban,Eldoret,Moderate,Higher,0
16,High,Urban,Nairobi,Good,None,0
15,Medium,Rural,Nakuru,Poor,Secondary,1
15,Low,Urban,Nyeri,Moderate,None,1
16,High,Traditional,Wajir,Poor,None,1
18,Medium,Traditional,Kitui,Good,Secondary,0
15,High,Traditional,Kiambu,Good,None,1
14,Medium,Traditional,Kitui,Poor,None,1
14,Low,Rural,Isiolo,Good,None,0
15,Medium,Urban,Kericho,Good,Higher,0
15,Medium,Traditional,Kisumu,Moderate,None,1
18,High,Rural,Mandera,Poor,None,1
14,Medium,Traditional,Nakuru,Poor,Secondary,0
15,High,Urban,Kericho,Moderate,Secondary,1
15,Medium,Traditional,Nyeri,Good,None,0
18,Low,Traditional,Nairobi,Poor,None,0
18,Medium,Traditional,Kitui,Poor,None,0
16,High,Traditional,Kisumu,Moderate,Higher,1
18,Medium,Urban,Nakuru,Good,None,0
13,Medium,Rural,Mandera,Moderate,Secondary,0
14,Low,Traditional,Eldoret,Poor,Secondary,1
16,High,Rural,Narok,Good,None,1
13,Low,Urban,Machakos,Good,None,0
15,Medium,Urban,Nakuru,Moderate,Secondary,1
15,Low,Traditional,Eldoret,Good,None,0
16,Medium,Rural,Meru,Poor,None,1
18,Medium,Traditional,Garissa,Poor,Higher,1
15,Low,Urban,Narok,Poor,None,1
17,Low,Traditional,Machakos,Good,Higher,0
16,Medium,Traditional,Thika,Good,Primary,1
13,Low,Rural,Wajir,Poor,Higher,1
16,Low,Urban,Kiambu,Moderate,None,0
14,Medium,Traditional,Nakuru,Poor,None,1
18,High,Traditional,Nyeri,Moderate,Secondary,0
18,Low,Traditional,Isiolo,Poor,None,0
16,Low,Rural,Isiolo,Moderate,None,0
15,High,Urban,Wajir,Moderate,None,1
15,Low,Traditional,Kakamega,Good,Higher,1
17,Medium,Traditional,Meru,Moderate,Higher,0
17,Low,Traditional,Kisumu,Good,Primary,0
18,Medium,Urban,Wajir,Poor,Higher,0
17,High,Rural,Nairobi,Moderate,Secondary,0
13,High,Rural,Wajir,Moderate,Higher,0
17,High,Traditional,Kiambu,Poor,None,1
13,Low,Traditional,Kisumu,Poor,Higher,1
17,High,Rural,Kericho,Moderate,None,1
18,Low,Rural,Eldoret,Moderate,Secondary,0
18,Low,Rural,Nairobi,Good,Primary,0
13,Low,Traditional,Kisumu,Good,Primary,0
16,High,Traditional,Kiambu,Moderate,Primary,0
18,High,Rural,Kisumu,Moderate,Primary,1
16,Low,Rural,Isiolo,Poor,None,0
15,High,Urban,Kakamega,Poor,None,0
13,Low,Traditional,Meru,Good,Higher,1
18,High,Urban,Mombasa,Good,None,1
14,Medium,Rural,Kisumu,Poor,Primary,0
15,High,Traditional,Nairobi,Poor,None,1
16,High,Traditional,Kericho,Poor,Secondary,0
18,High,Urban,Mandera,Poor,Secondary,1
13,Low,Urban,Nakuru,Poor,Secondary,1
17,Low,Urban,Garissa,Poor,Primary,0
14,Medium,Urban,Machakos,Good,Higher,1
16,Medium,Traditional,Garissa,Poor,None,0
15,Medium,Rural,Meru,Moderate,Higher,0
13,Low,Rural,Kisumu,Moderate,None,1
14,Medium,Rural,Wajir,Moderate,Primary,1
13,Medium,Urban,Kakamega,Moderate,Secondary,0
18,High,Rural,Garissa,Good,Primary,0
17,Medium,Urban,Meru,Moderate,Secondary,0
15,High,Urban,Thika,Good,Higher,0
13,Low,Rural,Meru,Moderate,Higher,0
16,Low,Rural,Thika,Poor,Primary,1
18,High,Rural,Wajir,Poor,Primary,0
18,Medium,Traditional,Mandera,Poor,None,1
15,Low,Urban,Narok,Poor,Higher,0
18,High,Traditional,Nairobi,Good,Secondary,1
16,Low,Rural,Kisumu,Poor,Higher,1
13,Low,Traditional,Kisumu,Poor,None,1
15,Medium,Traditional,Kisumu,Good,Primary,1
18,Low,Rural,Eldoret,Moderate,Secondary,0
18,High,Rural,Narok,Good,None,1
16,Medium,Urban,Eldoret,Moderate,Primary,0
17,High,Urban,Garissa,Poor,Secondary,1
17,High,Traditional,Kakamega,Good,None,0
18,High,Rural,Eldoret,Moderate,Primary,0
13,Medium,Urban,Machakos,Good,Higher,0
15,Low,Urban,Thika,Moderate,Primary,1
18,High,Traditional,Kakamega,Poor,Primary,1
14,Low,Traditional,Meru,Poor,None,0
15,Low,Traditional,Eldoret,Poor,None,1
17,High,Rural,Eldoret,Moderate,None,0
18,Low,Urban,Nairobi,Poor,Primary,0
16,Medium,Urban,Kericho,Good,Primary,0
14,Medium,Urban,Kisumu,Moderate,Higher,1
18,Low,Traditional,Kisumu,Good,None,1
13,Low,Rural,Nairobi,Moderate,Higher,1
14,Medium,Traditional,Kakamega,Moderate,Secondary,1
18,Low,Traditional,Meru,Good,Higher,1
13,Low,Rural,Kisumu,Poor,None,1
14,Low,Rural,Mandera,Good,Secondary,0
13,Low,Traditional,Kisumu,Poor,Primary,1
13,High,Rural,Thika,Good,Primary,0
14,Low,Traditional,Kiambu,Moderate,Secondary,0
14,Medium,Urban,Kisumu,Good,None,1
13,High,Rural,Kakamega,Good,Higher,0
17,High,Urban,Meru,Moderate,Primary,0
14,Medium,Rural,Narok,Poor,Secondary,1
18,Low,Traditional,Meru,Poor,Higher,0
15,High,Traditional,Kitui,Moderate,Higher,0
16,High,Traditional,Garissa,Poor,Primary,1
13,Low,Traditional,Nakuru,Poor,None,0
13,Low,Traditional,Wajir,Poor,None,0
16,Medium,Traditional,Eldoret,Moderate,Secondary,1
17,High,Rural,Wajir,Moderate,Secondary,1
16,Low,Rural,Thika,Good,None,0
14,Low,Urban,Kitui,Good,Secondary,0
16,Medium,Rural,Nakuru,Good,None,0
13,High,Rural,Nyeri,Poor,Primary,1
16,Low,Urban,Mandera,Good,Higher,0
15,Medium,Urban,Garissa,Poor,Secondary,0
18,High,Traditional,Machakos,Poor,Primary,0
14,High,Urban,Eldoret,Poor,None,1
16,High,Urban,Garissa,Good,Secondary,0
13,High,Rural,Mandera,Good,Primary,1
18,Medium,Traditional,Meru,Good,Secondary,0
14,Low,Urban,Kericho,Poor,Primary,0
13,High,Traditional,Kiambu,Poor,None,1
17,High,Traditional,Meru,Moderate,Higher,0
15,Low,Urban,Kericho,Moderate,Primary,1
17,High,Urban,Kakamega,Poor,None,0
15,High,Urban,Nyeri,Moderate,Secondary,1
16,Low,Urban,Eldoret,Poor,Higher,0
14,Low,Traditional,Thika,Moderate,Higher,0
16,High,Rural,Kisumu,Poor,Secondary,1
15,Low,Traditional,Kakamega,Moderate,Higher,1
15,Medium,Traditional,Mombasa,Poor,Secondary,1
15,Medium,Traditional,Kitui,Good,Secondary,0
18,High,Urban,Kisumu,Moderate,None,1
13,High,Urban,Narok,Poor,Secondary,1
14,Low,Rural,Thika,Good,None,0
16,Low,Rural,Nairobi,Poor,Primary,0
16,High,Rural,Mombasa,Good,Primary,0
17,High,Traditional,Garissa,Poor,Secondary,1
15,Medium,Rural,Wajir,Poor,None,1
15,Low,Traditional,Narok,Poor,Primary,1
15,High,Urban,Mombasa,Moderate,None,1
16,High,Traditional,Narok,Good,Primary,0
17,Low,Urban,Meru,Good,Secondary,0
13,Low,Urban,Nyeri,Good,Primary,0
18,High,Rural,Isiolo,Moderate,Secondary,1
14,High,Urban,Eldoret,Moderate,Secondary,0
13,High,Rural,Thika,Good,Primary,0
16,Low,Rural,Eldoret,Moderate,Secondary,0
18,High,Rural,Mombasa,Moderate,None,1
18,High,Traditional,Kitui,Good,None,1
18,High,Rural,Meru,Poor,None,1
15,Medium,Rural,Narok,Poor,Higher,0
14,Medium,Urban,Nyeri,Good,Primary,0
16,Low,Traditional,Eldoret,Moderate,Primary,0
16,High,Rural,Meru,Moderate,Higher,1
18,High,Rural,Wajir,Good,Primary,0
16,Low,Rural,Eldoret,Good,None,1
14,Low,Urban,Mombasa,Good,Higher,1
14,Low,Urban,Kiambu,Good,Higher,0
17,High,Urban,Garissa,Moderate,None,1
17,Medium,Rural,Kitui,Poor,Primary,0
13,Low,Rural,Wajir,Good,Secondary,0
14,High,Rural,Meru,Moderate,Secondary,0
14,Low,Rural,Thika,Good,Primary,0
14,High,Rural,Nairobi,Poor,Secondary,1
17,Low,Urban,Nyeri,Good,Higher,0
18,High,Rural,Narok,Moderate,Secondary,0
18,Low,Traditional,Narok,Good,Primary,0
16,Medium,Rural,Machakos,Poor,Primary,0
18,Low,Urban,Narok,Moderate,Primary,1
15,Low,Rural,Garissa,Moderate,Higher,1
17,Medium,Traditional,Garissa,Poor,Primary,1
14,Low,Rural,Mandera,Good,Secondary,1
18,Medium,Traditional,Kiambu,Good,Primary,0
17,High,Traditional,Garissa,Moderate,Primary,1
18,Medium,Urban,Machakos,Poor,Primary,1
13,Medium,Traditional,Kakamega,Moderate,Higher,1
14,High,Rural,Kitui,Moderate,Higher,0
13,Medium,Traditional,Nyeri,Poor,Higher,1
14,Medium,Rural,Mombasa,Poor,Higher,0
17,High,Rural,Wajir,Poor,None,0
16,Low,Rural,Kitui,Good,None,0
18,Low,Rural,Narok,Moderate,Secondary,0
18,Medium,Urban,Garissa,Moderate,Primary,0
15,Low,Rural,Nairobi,Good,Higher,0
13,Low,Urban,Mandera,Poor,Higher,0
18,Medium,Traditional,Nairobi,Good,Primary,0
17,High,Rural,Mandera,Moderate,Primary,1
16,Low,Traditional,Mandera,Good,None,1
17,Medium,Urban,Wajir,Moderate,Primary,1
13,High,Rural,Garissa,Good,None,1
15,Low,Rural,Mombasa,Good,Primary,0
18,High,Urban,Machakos,Moderate,Primary,0
17,Medium,Traditional,Meru,Moderate,Higher,0
14,High,Urban,Meru,Good,Higher,1
16,High,Traditional,Kakamega,Good,None,0
17,Medium,Traditional,Wajir,Good,Primary,0
16,Low,Traditional,Mombasa,Good,Higher,1
18,Low,Rural,Nyeri,Moderate,None,0
14,High,Urban,Thika,Poor,Higher,1
15,High,Rural,Narok,Moderate,Secondary,1
15,High,Urban,Mombasa,Poor,None,1
14,High,Traditional,Nyeri,Moderate,Secondary,1
16,Low,Rural,Mandera,Poor,Primary,0
18,Medium,Rural,Machakos,Moderate,None,0
17,Medium,Rural,Machakos,Poor,Secondary,0
14,Medium,Traditional,Kiambu,Good,Primary,0
13,High,Urban,Wajir,Good,None,0
16,High,Traditional,Kitui,Poor,Primary,1
15,Medium,Rural,Eldoret,Good,Secondary,1
14,Low,Rural,Isiolo,Poor,None,0
15,Medium,Traditional,Isiolo,Poor,Primary,1
16,Low,Rural,Narok,Good,Primary,1
15,High,Rural,Meru,Good,Higher,0
14,Medium,Urban,Thika,Moderate,Secondary,0
16,Medium,Urban,Garissa,Poor,None,0
13,High,Urban,Nairobi,Moderate,None,1
14,Low,Urban,Kakamega,Poor,Primary,0
17,Medium,Urban,Thika,Poor,Secondary,0
18,Medium,Urban,Kisumu,Moderate,Primary,1
14,Low,Rural,Mombasa,Good,Primary,0
16,Medium,Rural,Wajir,Moderate,None,1
18,Medium,Urban,Kitui,Good,Primary,0
14,High,Traditional,Narok,Good,None,1
13,Low,Urban,Machakos,Poor,None,0
13,Medium,Rural,Mandera,Moderate,Higher,0
17,Medium,Traditional,Kericho,Moderate,None,1
15,High,Traditional,Mombasa,Good,Higher,1
18,Medium,Traditional,Mandera,Good,Primary,0
16,High,Rural,Isiolo,Poor,None,0
16,Medium,Traditional,Mombasa,Poor,None,0
15,High,Rural,Wajir,Good,Higher,0
13,Low,Rural,Nairobi,Poor,Higher,1
13,Low,Urban,Meru,Good,None,1
14,Medium,Rural,Narok,Moderate,Secondary,1
17,Medium,Traditional,Wajir,Poor,Secondary,0
18,High,Rural,Kitui,Moderate,Higher,1
17,High,Rural,Garissa,Good,None,1
17,Low,Urban,Garissa,Poor,Primary,0
14,Medium,Urban,Machakos,Good,Primary,0
17,High,Rural,Kakamega,Moderate,Secondary,0
15,Low,Rural,Narok,Poor,Secondary,1
14,Low,Rural,Machakos,Moderate,Primary,1
15,High,Urban,Eldoret,Moderate,Higher,0
14,Medium,Urban,Kakamega,Good,None,0
17,Low,Traditional,Narok,Moderate,Secondary,0
15,High,Traditional,Nakuru,Moderate,None,1
15,Low,Traditional,Eldoret,Moderate,Higher,1
15,Medium,Traditional,Nairobi,Good,Higher,1
14,High,Urban,Kitui,Moderate,Secondary,0
16,Medium,Urban,Kericho,Good,Higher,0
17,Medium,Rural,Nyeri,Poor,Primary,0
15,Low,Traditional,Narok,Poor,Higher,0
18,Medium,Rural,Nakuru,Good,Secondary,0
16,Low,Rural,Meru,Poor,Higher,0
18,High,Urban,Meru,Moderate,Higher,0
17,High,Rural,Nakuru,Moderate,Secondary,1
17,Low,Rural,Thika,Good,Secondary,0
15,Low,Urban,Nyeri,Moderate,None,1
15,Low,Urban,Nakuru,Poor,Primary,1
14,Medium,Urban,Machakos,Poor,Secondary,0
16,High,Urban,Narok,Good,Higher,0
16,High,Traditional,Machakos,Poor,None,0
15,Medium,Traditional,Mombasa,Poor,Higher,0
17,Low,Traditional,Kiambu,Poor,Primary,1
15,High,Rural,Kitui,Good,Higher,1
17,Medium,Traditional,Kakamega,Good,None,1
17,Low,Urban,Meru,Moderate,Primary,0
15,High,Traditional,Nyeri,Poor,Higher,1
13,Low,Urban,Nyeri,Poor,None,1
16,Medium,Traditional,Nakuru,Good,Higher,1
18,High,Traditional,Thika,Poor,Primary,1
17,Low,Urban,Narok,Moderate,Higher,1
17,Low,Urban,Mandera,Poor,Higher,1
13,Low,Rural,Thika,Good,None,1
18,Medium,Rural,Mandera,Poor,Higher,0
14,Low,Rural,Isiolo,Moderate,Secondary,0
13,High,Traditional,Nyeri,Moderate,Primary,0
18,High,Traditional,Kisumu,Good,None,0
13,Low,Urban,Machakos,Moderate,Secondary,0
17,Medium,Urban,Thika,Poor,Secondary,0
16,High,Rural,Nairobi,Moderate,Primary,1
13,High,Urban,Eldoret,Moderate,None,0
14,High,Traditional,Kericho,Good,Secondary,1
15,Low,Urban,Kitui,Moderate,Higher,0
18,High,Urban,Mandera,Good,Secondary,1
13,Low,Urban,Machakos,Poor,Primary,0
13,Low,Urban,Wajir,Moderate,Secondary,0
14,Low,Urban,Mombasa,Poor,None,1
16,Low,Rural,Kericho,Poor,Secondary,1
13,Low,Rural,Kisumu,Moderate,Secondary,1
13,High,Traditional,Mombasa,Moderate,Primary,0
16,Low,Rural,Wajir,Good,Secondary,0
14,Low,Urban,Kiambu,Moderate,Secondary,0
18,Low,Rural,Mandera,Good,None,0
18,Low,Traditional,Eldoret,Moderate,Primary,0
13,Low,Rural,Isiolo,Moderate,Primary,0
16,Low,Traditional,Nyeri,Moderate,Primary,0
13,High,Traditional,Narok,Moderate,Primary,0
15,Low,Traditional,Nairobi,Moderate,Higher,1
18,Low,Urban,Meru,Good,Higher,1
17,High,Traditional,Nyeri,Moderate,Higher,1
15,High,Rural,Nakuru,Good,Primary,0
13,Medium,Rural,Narok,Good,Primary,0
14,High,Rural,Kisumu,Moderate,Higher,0
18,High,Traditional,Kericho,Moderate,Primary,1
17,Low,Traditional,Kisumu,Moderate,Secondary,0
15,Medium,Urban,Kericho,Good,None,1
18,Low,Traditional,Garissa,Poor,Primary,0
16,Medium,Rural,Mandera,Poor,Secondary,1
14,Low,Urban,Kakamega,Good,Secondary,1
15,High,Rural,Garissa,Moderate,Higher,1
16,High,Urban,Mombasa,Moderate,None,1
13,Medium,Traditional,Kisumu,Good,Primary,1
16,Low,Urban,Kisumu,Moderate,Primary,1
15,Low,Traditional,Kericho,Good,None,1
15,High,Traditional,Garissa,Moderate,Secondary,1
13,High,Rural,Wajir,Moderate,Primary,1
16,Medium,Traditional,Kericho,Good,Primary,0
16,High,Traditional,Meru,Poor,None,1
13,Medium,Traditional,Kitui,Poor,Secondary,1
16,Medium,Rural,Isiolo,Poor,Secondary,0
18,Medium,Traditional,Mandera,Moderate,Secondary,1
13,Medium,Rural,Nyeri,Poor,Primary,0
14,High,Urban,Garissa,Poor,Secondary,1
15,Medium,Rural,Kiambu,Poor,None,0
14,High,Rural,Mombasa,Poor,Higher,0
18,Medium,Traditional,Wajir,Poor,Higher,1
18,High,Rural,Narok,Poor,None,1
17,Medium,Urban,Nairobi,Good,None,1
17,High,Rural,Thika,Poor,None,0
17,Low,Traditional,Wajir,Moderate,Secondary,1
13,Medium,Urban,Nyeri,Good,None,0
16,Medium,Traditional,Wajir,Moderate,Primary,1
18,Low,Traditional,Narok,Poor,Higher,0
14,Low,Rural,Nyeri,Poor,Primary,0
14,Medium,Traditional,Kericho,Poor,Primary,1
14,High,Urban,Meru,Moderate,Secondary,1
14,Medium,Urban,Nyeri,Poor,Secondary,1
17,High,Urban,Narok,Poor,Higher,0
14,Low,Urban,Isiolo,Poor,Secondary,0
16,High,Rural,Mombasa,Poor,Secondary,0
17,Medium,Urban,Kiambu,Poor,Higher,1
14,Low,Rural,Isiolo,Poor,None,0
13,Low,Traditional,Kitui,Good,Higher,1
15,Medium,Traditional,Eldoret,Poor,Higher,1
